Name,ID,Meaning
Body Painting,d11b9289-806a-403b-945a-afb47ad2eea5,For streams with an emphasis on the painting of a creative work of art using the human body as a canvas
Body Positive,150f13a5-b1ce-4e85-a61f-7cfed2e2e08c,For streams featuring content relevant to advocates of body positivity
Bolivia,88c4db44-ab3b-4921-b0aa-48a5d811ecf4,For streams and content featuring the Bolivian community
Bonaire,e78454ec-aae7-4a7a-b5af-745288ad68ee,For streams and content featuring the Bonaire Dutch community
Borderline Personality,f541e89d-6676-467e-9b15-5d204692ef40,For streams and content featuring the borderline personality community
Boricua,8a5c88bc-084c-4d10-be35-64e4bcf445a0,For streams and content featuring the Boricua community
Bosnia,37d1d62a-b3f1-437d-8b0e-e888320dc9f0,For streams and content featuring the Bosnian community
Botswana,2db3682a-f98c-45ec-9074-a8ec199eb280,For streams and content featuring the Motswana community
Boxing,458f2d82-70b2-4b08-89dd-adc6835c3683,For streams that feature the discussion or activity of boxing
Brazil,988c8c1b-b991-4b66-9a6d-b36f60363f6d,For streams and content featuring the Brazilian community
Brewing,0c091738-2e83-4293-be16-6a2a77200399,For streams with an emphasis on the brewing or distilling of alcoholic beverages
Brickbuilding,f1e3759c-35b3-4858-a50f-8f9cafc2660f,For streams with an emphasis on brick-building using LEGO or other similar products
British,74204ae8-61d6-410c-b9a4-1207654b17ad,For streams and content featuring the British community
Brunei,08d2dba2-90b0-4820-9cc4-4b05135b4503,For streams and content featuring the Bruneian community
Buddhist,7e4c126c-7f08-4109-a78e-8412c709f50e,For streams and content featuring the Buddhist community
Bulgaria,d40bdfd9-7890-49c7-9cda-3d074a087d57,For streams and content featuring the Bulgarian community
Burkina Faso,2fb6f5f8-24d8-4c47-a0ea-8b5896b722d1,For streams and content featuring the Burkinabe community
Burundi,9db446b2-1d55-4e51-b8a3-baf53337308f,For streams and content featuring the Burundian community
Business,c38aeb6e-e8c7-452a-88e1-a3ed62c2e846,For streams with an emphasis on the discussion of business-related topics
C#,c8f444c9-774a-4bbc-9669-f5eabb915c42,For streams with an emphasis on the discussion or development of software in the C# programming language
C++,2b194c54-bc5f-4c4c-85f7-32f03ab0fd7c,For streams with an emphasis on the discussion or development of software in the C++ programming language
Cabo Verde,30ca95eb-8819-42c5-b8ec-028cdd0b9503,For streams and content featuring the Cabo Verdean community
Cambodia,30a72530-e94f-4961-801d-8c506355df26,For streams and content featuring the Cambodian community
Cameroon,9468a13a-b16a-46c7-b49f-75c89f362981,For streams and content featuring the Cameroonian community
Campaign Planning,1648d895-0548-4355-bdce-09c6fe3c4d21,"For streams that feature the pre-production, preparatory phase of a game such as Dungeons and Dragons"
Canada,315618b7-c996-443d-a993-e8d5cdb5d1bd,For streams and content featuring the Canadian community
Caribbean,e4c596f5-49b8-41dd-a05b-940205d12020,For streams and content featuring the Caribbean community
Cash Game,eeea68da-c4b8-4268-b17a-eb0f30286843,For streams that feature games in which real-world money is at stake as a prize or entrance fee
Casual Playthrough,cc8d5abb-39c9-4942-a1ee-e1558512119e,"For streams that feature the playthrough of a game in a casual manner, without attempting to be perfect at it"
Cayman Islands,1399206f-7ddb-4044-b347-ab2490fb7895,For streams and content featuring the Caymanian community
Central African Republic,e2195c02-4efb-4118-85fa-da4ac66868df,For streams and content featuring the Central African community
Central Asian,64843745-a191-4724-a257-d59214d189da,For streams and content featuring the Central Asian community
Ceramics,42d950b3-e90f-4ef0-a22a-5e6a31d67ba5,For streams with an emphasis on the discussion or production of ceramics
Chad,5d7b7078-ea24-4547-b50a-c02f3d490dd7,For streams and content featuring the Chadian community
Challenge Run,81df4005-f654-40b2-9fc0-9fd767bc8e3e,For streams with an emphasis on gameplay that adheres to a challenging restriction or handicap
Character Creation,5e798958-88a4-474a-bd7f-07178a0def0c,For streams with an emphasis on the creation of custom playable characters for a game
Charity,bb5e7234-380e-48ad-a59c-03e51274e478,For streams with an emphasis on fundraising for a charitable cause
Chatty,afc8211a-8eee-48b8-9e18-212f22f657db,For streams and content featuring a chatty mood or vibe
Chicana,3148bf0d-01d1-4fad-8429-db6176f3ab53,For streams and content featuring the Chicana community
Chicano,4c96902c-6351-4d41-9046-6f625fd14319,For streams and content featuring the Chicano community
Chicanx,b1296a03-28c1-44f5-97bc-65c2f776b3b0,For streams and content featuring the Chicanx community
Chile,5c22e65e-dc0e-4611-bc4c-85b7de3dd013,For streams and content featuring the Chilean community
Chilled,81e9d348-82e5-4c4f-a140-d2b3779b912d,For streams and content featuring a chilled mood or vibe
China,393deddd-16d8-44c3-be74-6e153b55ea34,For streams and content featuring the Chinese community
Christian,7535ec0d-37d4-4c7b-bb4f-40882f50f89a,For streams and content featuring the Christian community
Christmas Island,d0f3e550-e782-49d4-bd60-42d423848519,For streams and content featuring the Christmas Islander community
Chronic Illness,7f653d60-941d-46ca-8592-773d991431c8,For streams and content featuring the chronic illness community
Classical,60b8f13e-7022-481a-afff-07de3db129cc,"For streams that feature the discussion, production, or authorized playback of classical music"
Closed Captions,8a01ea18-df97-4046-9cff-a9a822bb96e5,For streams that feature closed captioning
Co-Stream,adb55316-f1ab-4f81-9ff5-17da7719d0ee,For streams that are rebroadcasting another channel's live content and providing additional commentary over it
Co-Working,0739209c-9ef5-4ae0-997c-ccbeb864ca61,For streams and content featuring individuals who are studying or working together collaboratively
Coaching,62bc5436-6f91-446d-9651-da008da4e4bb,For streams with an emphasis on coaching others for the purpose of their improvement or betterment
Colombia,v1b2dd9ce-f199-4018-9249-7d4a079d2cdb,For streams and content featuring the Colombian community
Color Blind,d46efe46-ba1c-475b-ae30-a295c45b3878,For streams and content featuring the color blind community
Coloring,319e29b7-9b61-4f0b-ad11-43e4c01ca697,"For streams with an emphasis on the use of markers, pens, pencils, or crayons to add color to an otherwise black and white image or page"
Comics,1d712738-c298-4ff9-9c15-671ae9a77b7c,For streams with an emphasis on the production or discussion of comics or comic books
Commodore 64,2de1a05c-77dc-4bd3-afbc-4c07e85e3624,For streams in which the streamer is playing on a Commodore 64 console
Comoros,59c05a9e-1f3d-494b-bddc-a9942ac1a4ca,For streams and content featuring the Comorian community
Competitive,1eba3cfe-51cc-460a-8259-bc8bb987f904,For streams with an emphasis on competition against others
Composing,049c2888-172c-4b36-a964-cdfad1051604,For streams with an emphasis on the writing or creation of an original work of music
Congo,6799517d-f737-44a9-bcca-51abc3a6bce5,For streams and content featuring the Congolese community
Contemporary Dance,48f31aeb-6f50-4c78-a13d-b9bb47a8b745,"For streams that feature dance that incorporates aspects of many other genres, such as modern, jazz, etc."
Controller,e866e85a-1e67-4db0-b588-7fa66bb3879e,For streams in which the streamer is using a controller
Convention,1e399a95-33f1-47c6-9511-adfb1d72a61a,For streams with an emphasis on the attendance or discussion of a convention
Cook Islands,c8e8832b-2247-4974-a91e-229030658219,For streams and content featuring the Cook Islander community
Cooking,c267da2b-097a-4d7d-bb34-4b08498ac1a4,"For streams with an emphasis on the non-baking culinary arts, such as preparing, cooking, or assembling ingredients into food"
Cooperative,63e83904-a70b-4709-b963-a37a105d9932,For streams with an emphasis on cooperating with others
Cosplay,2ffd5c3e-b927-4749-ba53-79d3b626b2da,"For streams with an emphasis on the assembly, design, or wearing of a costume that resembles a character, typically from a work of fiction"
Costa Rica,735253a8-74c2-45cf-a973-d1b58c2e25ce,For streams and content featuring the Costa Rican community
Country Music,ebb68e1c-7291-4350-a8f4-44b484f1da2f,"For streams that feature the discussion, production, or authorized playback of country music"
Cozy,adc4a830-07f5-457b-95e5-5ab6cc1f9af3,For streams and content featuring a cozy mood or vibe
Crafting,541dad34-35c6-4431-a1f5-9d7e8a5b5b3a,For streams that feature in-game crafting
Cricket,617e45cb-1c58-43ef-b5f3-050dbd8ae7ca,For streams that feature the discussion or activity of cricket
Croatia,20be55bd-a3b3-40c4-b3d2-0f656eeb987a,For streams and content featuring the Croatian community
Crocheting,c50b4290-44da-4f41-94bd-1a64325aab08,For streams with an emphasis on the discussion or process of crocheting fabric
Cross-Stitch,572bbbbc-ab94-4cbd-8c1f-649d856267b5,For streams with an emphasis on the discussion or production of objects crafted using the cross-stitch sewing technique
Cuba,5ae524b5-1bc5-4b5d-b26a-fc77fb1cff38,For streams and content featuring the Cuban community
Cuban,af40eaba-004c-4f85-b33f-e4af89e98d5a,For streams and content featuring the Cuban community
Curacao,380b52d7-b9b5-400b-9909-92c99bf643e2,For streams and content featuring the Curacaon community
Cycling,d5713b1e-c796-4bdc-88e2-93c49ce31136,For streams that feature the discussion or activity of cycling
Cyprus,c5b78a5a-efbf-455c-a155-740bc4ee7b0b,For streams and content featuring the Cypriot community
Czech Republic,4dac7941-a537-463c-9d1d-2cf6db72dd3c,For streams and content featuring the Czech community
d/Deaf,9dd0468a-2aa6-43fc-a74e-8cae960dc5e0,For streams and content featuring the d/Deaf community
Dance Music,v9f1b01a8-87b9-4e25-94de-8705c1c1f4dc,"For streams that feature the discussion, production, or authorized playback of dance music"
Deck Construction,3bbf3e11-717e-46af-aec3-37e4f9216db4,For streams with an emphasis on the construction or theorycrafting of a deck in a card game
Demisexual,6ac1c057-a758-4527-a0e8-e11dfdafffe9,For streams and content featuring the demisexual community
Denmark,fbba8531-a4ab-4b48-bb1c-5c2e643e8daa,For streams and content featuring the Danish community
Depression,c1ea4496-4418-4a4f-bc30-083cfc6a616b,For streams and content focused on depression
Design,7b49f69a-5d95-4c94-b7e3-66e2c0c6f6c6,For streams with an emphasis on the creative process of designing an object or system
Desktop Development,a106f013-6e26-4f27-9a4b-01e9d76084e2,For streams with an emphasis on the discussion or development of a desktop application
Dice,5cf2121f-fff0-4375-84a7-4119d54a8b95,For streams featuring games with an emphasis on the rolling of dice
Digital Art,02ba4017-ed3b-4b82-ab20-011860784f77,For streams with an emphasis on the creation of creative or artistic works in a digital medium
Disabled,5532e712-9d64-4830-8ff9-ce83b8dcebfa,For streams and content featuring the disabled community
Disabled Veteran,ab68cb28-d9fd-47ba-b7d6-ffd82165a750,For streams and content featuring the disabled miltary veteran community
Dissociative Disorder,e57c1bca-b46d-409b-a09f-2919dace5b72,For streams and content featuring the dissociative disorder community
DJ,d81d54c8-d705-4df6-aaf0-01d715c1dbcc,"For streams with an emphasis on the authorized live mixing, manipulation, or playback of music or recorded sound samples"
Djibouti,80c09e26-054f-457e-ada6-abd78f37d628,For streams and content featuring the Djiboutian community
Dominica,5bc819b0-78b6-49d3-b0a4-cb2da50a35e6,For streams and content featuring the Dominican community
Dominican Republic,06ee2762-e450-4b10-8d74-c490bef92d17,For streams and content featuring the Dominican community
DOS,d7fae33a-0dd4-4516-a052-dc0188240663,For streams in which the streamer is playing using DOS
Down Syndrome,2b239b05-3cec-4289-9ae6-0ec5b47bf969,For streams and content featuring the Down syndrome community
Downtempo,f7c66388-34d7-4ac7-b171-b6a18053cae9,"For streams that feature the discussion, production, or authorized playback of downtempo music"
Draft,90cde8f1-1372-4c65-baac-0eb888c098bc,"For streams in which participants take turns selecting (and potentially banning) resources such as players, characters, or cards"
Drag,011f7c20-f533-4ad1-8093-8c6f8f75bc4c,For streams in which the streamer showcases the art of drag
Dragon Con,d2e34e61-fbeb-4c70-9c98-474fce8df9e2,For streams related to the attendance or discussion of the annual Dragon Con event
Drawing,f2d10665-9980-452a-b091-f0ca30777d4b,For streams with an emphasis on the discussion or production of drawings
Dreamcast,c1a5ce31-8d28-4c5a-b2e0-541ae5605963,For streams in which the streamer is playing on a Dreamcast console
Dreamhack,c8b3c2eb-8e4b-478e-b4e7-4f01cc4dc34a,For streams related to the attendance or discussion of the annual Dreamhack event
Drones,aa971bdc-a28d-4a33-a686-f112c764e73b,"For streams with an emphasis on the building, programming, or piloting of drones"
DS,4f7bf28c-fef9-442e-a1c9-d72c89baa02e,For streams in which the streamer is playing on a DS console
DSi,32481726-1ec8-44ce-933c-c1c101414a85,For streams in which the streamer is playing on a DSi console
Dubstep,4d580385-6b91-4cee-aedf-0d79ea956694,"For streams that feature the discussion, production, or authorized playback of dubstep music"
Duos,2e037750-5051-44ea-a51f-7a376bbacb29,For streams that feature the Duos gameplay mode
Dwarfism,92c8b6f7-924b-46be-8d04-7c44cfc3d15d,For streams and content featuring the dwarfism community
Dyscalculia,4d683742-a577-4c72-ac01-e2aa50a3fbc2,For streams and content featuring the dyscalculia community
Dysgraphia,ca8f9d48-75bd-4ed7-a090-13a4d179b654,For streams and content featuring the dysgraphia community
Dyslexia,707bc174-a7e6-4cba-bb4b-40c6adcca6e7,For streams and content featuring the dyslexia community
Dyspraxia,e203d10c-6cb7-4584-b445-f490bcfcae58,For streams and content featuring the dyspraxia community
E3,d27da25e-1ee2-4207-bb11-dd8d54fa29ec,For streams related to the attendance or discussion of the annual E3 event
Early Access Play,87461f91-8a5c-4233-92fd-38f321b8970d,For streams that feature authorized early access or otherwise pre-release gameplay
East Asian,9cdc7436-a58b-49c2-9828-5060c5d271e8,For streams and content featuring the East Asian community
East Timor,e6b160b7-8804-4d59-b9e2-7b8b74ff062e,For streams and content featuring the Timorese community
Easy Mode,1eea2343-ca8e-4606-ab21-5c64e129f6db,For streams that feature the playthrough of a game on the least difficult setting
Ecuador,994329e7-68cd-49c2-82fe-e62f2d59b4b1,For streams and content featuring the Ecuadorian community
Editing,325a32c7-7b8e-48f8-b4fa-10875f18bb6d,"For streams with an emphasis on the editing or manipulation of photographs, audio or video content, writing, etc."
Educational,cea7bc0c-75a5-4446-8743-6db031b71550,For streams with an emphasis on educating viewers
EGX,2e70d83a-5f54-4c87-b6ba-ce2060e08cbb,For streams related to the attendance or discussion of the annual EGX event
Egypt,928340a0-7a66-405f-98cf-a702bdc4e34c,For streams and content featuring the Egyptian community
El Salvador,37f6783d-b801-4cfd-84dd-741189c5dd84,For streams and content featuring the Salvadoran community
Electronic Music,338d7a92-8bcc-429e-a30c-9f1c41a2d79a,"For streams that feature the discussion, production, or authorized playback of electronic music"
Embroidery,f7f1750d-4410-4b95-bb11-60ec5d3765f2,For streams with an emphasis on the production of objects crafted using a needle to apply thread or yarn
Emote Design,9ba743f4-85e4-40e2-a83c-c5b24aab797b,For streams with an emphasis on the discussion or design of emotes
End Game,aeab850d-94ec-4af5-89a0-9eb1bf41558d,For streams that feature end game PVP or PVE content
Endurance Training,3379ff9c-3c15-4bef-bfb8-2085cd196062,For streams with an emphasis on physical training with a focus on developing endurance
Engineering,dff0aca6-52fe-4cc4-a93a-194852b522f0,"For streams with an emphasis on the creative application of science, mathematics, or technology for the purpose of innovation, design, or construction"
England,8bc6daab-8c15-4eb9-b533-a6417a213a93,For streams and content featuring the English community
Epic Level Characters,df262ff6-74d1-415b-942c-d584d44426c4,"For streams that feature very high-level, experienced characters"
Equatorial Guinea,dfb89ec1-635f-42e5-8551-6c74c86f04d9,For streams and content featuring the Equatoguinean community
Eritrea,a6b8fd7e-07eb-4c86-85dd-3e7637f76a8c,For streams and content featuring the Eritrean community
Esports,36a89a80-4fcd-4b74-b3d2-2c6fd9b30c95,For channels that have been verified to belong to an organizer or official broadcaster of an esports event
Estonia,5095b6db-2b4e-487a-8658-6fe92c496e60,For streams and content featuring the Estonian community
Eswatini,1f7945a8-0d8c-43bf-baa5-b736f6817d75,For streams and content featuring the Liswati community
Ethiopia,8fafcc87-36f9-4a43-8424-8a62b07d5240,For streams and content featuring the Ethiopian community
EU Server,dcf598ca-b5de-47d4-af33-ecabe9eaeee1,For streams that feature gaming on servers in the European region of the world
Eurasian,37399e6c-54f9-4b2e-97a7-3dc03e289982,For streams and content featuring the Eurasian community
European,65174c7e-8b88-4ed9-9c63-d45beef62457,For streams and content featuring the European community
Evil Characters,0cef8341-8c67-481f-95a8-325932a6699c,For streams that feature player characters that are morally evil
Exploration,a4fac2cc-7cd4-44a6-b620-178182389a5b,For streams with an emphasis on exploration
Extra Life,3ef3258b-5623-41da-8f5f-169c716a84da,For streams that feature participation in the Extra Life fundraising campaign for Children's Miracle Network Hospitals
Eye-Tracking,3b977eed-90b5-4fef-a702-eab582a800d3,Tag for gaming while using an eye-tracking device
F#,9104b6e5-c5b2-4ef6-a370-83f126241838,For streams with an emphasis on the discussion or development of software in the F# programming language
Falkland Islands,dccf13f0-f8f1-4cea-8570-808ee42b0c6a,For streams and content featuring the Falkland Islander community
Family Friendly,e90b5f6e-4c6e-4003-885b-4d0d5adeb580,"For streams that feature little (if any) swearing, games or topics that are appropriate for viewers of all ages, and high levels of moderation"
Fan Art,86bd38a4-8ef9-4e4a-892f-f4d0aa336d67,For streams with an emphasis on the creation of works of art using characters or concepts derived from other media by fans of that media
Fantasy Sports,cb00cfe5-ae4e-4e4f-a8f1-8fa6ddec6361,For streams with an emphasis on the discussion or assembly of virtual teams composed of the real players of a professional sport
Farming,3ffbec21-97a2-43f9-bd73-4506a1b4d62c,"For streams that feature the gathering of XP, materials, or resources"
Faroe Islands,50823c1d-502a-4f63-9ebd-c42dbd9e2db5,For streams and content featuring the Faroese community
Fashion,246d6e4b-b9c6-442b-9573-77028839f194,"For streams with an emphasis on the discussion of clothing, fashion, or the fashion industry"
Feminine,9d1fcbc7-0da5-4fe9-9249-d64bafddb403,For streams and content featuring the feminine community
Festival,2068d8f3-269c-43f2-9a00-82aeb3f0a3b8,For streams that feature the attendance or discussion of a local festival
FGC,3280c8d8-64c0-45f7-aeaa-189928b0e82c,For streams related to the Fighting Game Community
